kode_wilayah,nama_wilayah,provinsi_induk_34,region_group,tahun,akses_rural_persen,akses_total_persen,akses_urban_persen,gap_rural_urban_pp
82,Maluku Utara,Maluku Utara,Luar Jawa,2018,15.6,25.8,51.0,35.4
82,Maluku Utara,Maluku Utara,Luar Jawa,2019,18.4,29.13,55.41,37.01
82,Maluku Utara,Maluku Utara,Luar Jawa,2020,25.21,35.8,61.81,36.6
82,Maluku Utara,Maluku Utara,Luar Jawa,2021,32.12,42.68,68.86,36.74
82,Maluku Utara,Maluku Utara,Luar Jawa,2022,42.3,50.2,71.15,28.85000000000001
82,Maluku Utara,Maluku Utara,Luar Jawa,2023,44.71,53.48,74.8,30.089999999999996
82,Maluku Utara,Maluku Utara,Luar Jawa,2024,50.46,59.17,80.1,29.639999999999993
91,Papua Barat,Papua Barat,Luar Jawa,2017,19.53,27.45,39.74,20.21
91,Papua Barat,Papua Barat,Luar Jawa,2018,26.99,36.41,50.1,23.110000000000003
91,Papua Barat,Papua Barat,Luar Jawa,2019,32.64,43.46,58.25,25.61
91,Papua Barat,Papua Barat,Luar Jawa,2020,38.92,50.21,65.61,26.689999999999998
91,Papua Barat,Papua Barat,Luar Jawa,2021,40.43,54.61,73.31,32.88
91,Papua Barat,Papua Barat,Luar Jawa,2022,49.77,58.27,74.59,24.82
91,Papua Barat,Papua Barat,Luar Jawa,2023,49.82,60.01,74.29,24.470000000000006
91,Papua Barat,Papua Barat,Luar Jawa,2024,55.75,62.96,79.14,23.39
92,Papua Barat Daya,Papua Barat,Luar Jawa,2024,53.4,65.75,77.98,24.580000000000005
94,Papua,Papua,Luar Jawa,2017,7.29,16.51,41.81,34.52
94,Papua,Papua,Luar Jawa,2018,8.83,19.59,47.72,38.89
94,Papua,Papua,Luar Jawa,2019,8.53,21.7,55.1,46.57
94,Papua,Papua,Luar Jawa,2020,11.45,25.52,60.64,49.19
94,Papua,Papua,Luar Jawa,2021,10.27,26.49,66.87,56.60000000000001
94,Papua,Papua,Luar Jawa,2022,10.69,26.32,66.43,55.74000000000001
94,Papua,Papua,Luar Jawa,2023,12.74,29.87,72.07,59.32999999999999
94,Papua,Papua,Luar Jawa,2024,39.32,62.24,77.56,38.24
95,Papua Selatan,Papua,Luar Jawa,2024,33.58,48.44,74.09,40.510000000000005
96,Papua Tengah,Papua,Luar Jawa,2024,12.3,28.71,82.62,70.32000000000001
97,Papua Pegunungan,Papua,Luar Jawa,2024,4.15,6.76,41.86,37.71
