record_id,kode_wilayah,nama_wilayah,tingkat_wilayah,tahun,topik,kode_indikator,nama_indikator,nilai,satuan,jenis_disagregasi_1,kategori_disagregasi_1,jenis_disagregasi_2,kategori_disagregasi_2,versi_wilayah,dataset_asal
ID-0000107,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,26.72,% pengguna internet,area,urban,category,goods_services_information,id_38_2024,bps_internet_purpose
ID-0000108,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,81.64,% pengguna internet,area,urban,category,news_information,id_38_2024,bps_internet_purpose
ID-0000109,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,8.57,% pengguna internet,area,urban,category,online_learning,id_38_2024,bps_internet_purpose
ID-0000110,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,8.07,% pengguna internet,area,urban,category,other,id_38_2024,bps_internet_purpose
ID-0000111,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,2.72,% pengguna internet,area,urban,category,sell_goods_services,id_38_2024,bps_internet_purpose
ID-0000112,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,79.27,% pengguna internet,area,urban,category,social_media,id_38_2024,bps_internet_purpose
ID-0000113,11,Aceh,provinsi,2024,Pemanfaatan internet,percentage_users,Tujuan penggunaan internet,2.18,% pengguna internet,area,urban,category,work_from_home,id_38_2024,bps_internet_purpose
ID-0000114,11,Aceh,provinsi,2024,Pembangunan TIK,access_infrastructure_subindex,Subindeks akses dan infrastruktur TIK,6.02,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_province_2023_2024
ID-0000115,11,Aceh,provinsi,2024,Pembangunan TIK,ict_development_index,Indeks Pembangunan TIK,5.97,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_province_2023_2024
ID-0000116,11,Aceh,provinsi,2024,Pembangunan TIK,skills_proxy_subindex,Subindeks proksi keahlian TIK,6.78,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_province_2023_2024
ID-0000117,11,Aceh,provinsi,2024,Pembangunan TIK,use_subindex,Subindeks penggunaan TIK,5.52,poin 0–10,,,,,id_34_papua_aggregated_2023_2024,bps_iptik_province_2023_2024
ID-0000118,11,Aceh,provinsi,2024,Perangkat akses,percentage_users,Perangkat yang digunakan untuk mengakses internet,1.16,% pengguna internet,area,rural,category,desktop,id_38_2024,bps_access_device
ID-0000119,11,Aceh,provinsi,2024,Perangkat akses,percentage_users,Perangkat yang digunakan untuk mengakses internet,5.26,% pengguna internet,area,rural,category,laptop_tablet,id_38_2024,bps_access_device
ID-0000120,11,Aceh,provinsi,2024,Perangkat akses,percentage_users,Perangkat yang digunakan untuk mengakses internet,99.08,% pengguna internet,area,rural,category,mobile,id_38_2024,bps_access_device
ID-0000121,11,Aceh,provinsi,2024,Perangkat akses,percentage_users,Perangkat yang digunakan untuk mengakses internet,0.3,% pengguna internet,area,rural,category,other,id_38_2024,bps_access_device
ID-0000122,11,Aceh,provinsi,2024,Perangkat akses,percentage_users,Perangkat yang digunakan untuk mengakses internet,2.12,% pengguna internet,area,total,category,desktop,id_38_2024,bps_access_device
ID-0000123,11,Aceh,provinsi,2024,Perangkat akses,percentage_users,Perangkat yang digunakan untuk mengakses internet,8.55,% pengguna internet,area,total,category,laptop_tablet,id_38_2024,bps_access_device
